Price,Close,Close.1,Close.2,Close.3,High,High.1,High.2,High.3,Low,Low.1,Low.2,Low.3,Open,Open.1,Open.2,Open.3,Volume,Volume.1,Volume.2,Volume.3
Ticker,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA,AAPL,GOOGL,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,
2023-09-18,176.24371337890625,137.26329040527344,324.1746826171875,265.2799987792969,177.64004017321716,138.2067800272706,325.494785002062,271.44000244140625,174.46117014263496,135.6742440861328,321.5147555316382,263.760009765625,174.76816076178545,135.6742440861328,322.93337930199704,271.1600036621094,67257600,21861300,16834200,101543300
2023-09-19,177.3330535888672,137.0944366455078,323.7707824707031,266.5,177.88761925037375,137.46191249681675,324.49981670881084,267.8500061035156,175.41186889666162,135.6841652859194,319.69226147159173,261.20001220703125,175.79808534740948,136.4786884171114,321.32762034749874,264.3500061035156,51826900,20353700,16505900,103704000
2023-09-20,173.78778076171875,132.82391357421875,316.0077819824219,262.5899963378906,177.95693597912128,137.1341818172231,324.69684594431357,273.92999267578125,173.69864226300012,132.70472524498294,315.7516624314958,262.4599914550781,177.52120149038592,137.1341818172231,324.6180468666076,267.0400085449219,58436200,29927500,21436500,122514600
2023-09-21,172.242919921875,129.5465087890625,314.7861328125,255.6999969482422,174.58994185364898,131.32424090064023,320.51973405660937,260.8599853515625,172.1736067600936,129.17904808066385,310.323388147436,254.2100067138672,172.85691636893478,130.53965894518316,314.5201521601659,257.8500061035156,63149100,31503900,35560400,119951500
2023-09-22,173.09454345703125,129.35780334472656,312.30364990234375,244.8800048828125,175.36233909077248,131.12560934891957,316.67773565771677,257.7900085449219,172.36173107244514,128.71226182736228,311.4564019081712,244.47999572753906,172.97571228348323,129.86430445123077,316.54966083939325,257.3999938964844,56725400,26397300,21447900,127524100
2023-09-25,174.3720245361328,130.2119140625,312.8257751464844,246.99000549316406,175.25339092524624,130.27150064557682,312.9538499627099,247.10000610351562,172.46073769252675,128.0766473461499,310.3234758438393,238.30999755859375,172.51025571431984,128.94068310930032,311.88986692369065,243.3800048828125,46172700,20094600,17836000,104636600
2023-09-26,170.2919921875,127.6893310546875,307.5059509277344,244.1199951171875,173.50055447022797,129.46706328054253,311.19041687093375,249.5500030517578,169.99489916963813,126.34857219602962,305.4173994181049,241.66000366210938,173.1242507509963,128.88110828778912,310.45155145037705,242.97999572753906,64588900,25718700,26297600,101993600
2023-09-27,168.77684020996094,129.64581298828125,308.14630126953125,240.5,171.3615240971404,130.0033476459015,309.6338632362447,245.3300018310547,167.41023633579258,127.68932114866523,305.092318122323,234.5800018310547,170.94559986493434,127.68932114866523,307.66355540766017,244.25999450683594,66921800,22746500,19410100,136597200
2023-09-28,169.03433227539062,131.40370178222656,308.9836730957031,246.3800048828125,170.36133082824708,132.38692594507856,310.79635260217924,247.5500030517578,165.9941036111019,128.9009590113203,304.8558759902322,238.64999389648438,167.69742105029528,128.9506195526447,306.37299129807553,240.02000427246094,56294400,22513100,19683600,117058900
2023-09-29,169.5492706298828,129.96363830566406,311.062255859375,250.22000122070312,171.39122924497295,133.1317899299604,314.72702853241236,254.77000427246094,168.68769934956754,129.46706319600682,310.30369839435616,246.35000610351562,170.3514112168,132.36706001789275,313.0325631015563,250.0,51861100,30859800,24147300,128522700
2023-10-02,172.06463623046875,133.25094604492188,317.0224914550781,251.60000610351562,172.6093042881744,133.49923356795875,317.11118175682213,254.27999877929688,169.2719827950215,130.27149576847927,310.50077789049766,242.6199951171875,169.55917827580257,130.31123025855513,311.5844531197729,244.80999755859375,52164500,22288000,20570000,123810400
2023-10-03,170.7277069091797,131.52288818359375,308.7373962402344,246.52999877929688,171.94578673866616,133.34035506808445,316.61862746801495,250.02000427246094,169.16304627124387,130.93693313814498,306.58973788163564,244.4499969482422,170.58906551933305,133.02255484933656,316.06691362272,248.61000061035156,49594600,22989400,21033500,101985300
2023-10-04,171.9755096435547,134.31361389160156,314.2246398925781,261.1600036621094,172.5201776911012,134.64135521605783,315.2886228065035,261.8599853515625,169.31160010164683,131.62217067490926,309.3382855829603,247.60000610351562,169.43043127173715,131.88038422405663,309.36783899365224,248.13999938964844,53020300,26752300,20720100,129721600
2023-10-05,173.21337890625,134.14479064941406,314.6186218261719,260.04998779296875,173.74813426454526,134.56191187093788,315.2294422784966,263.6000061035156,171.00499899742474,132.53587719008763,310.22484543177325,256.25,172.10423261632292,134.14479064941406,314.35264119213554,260.0,48527900,19832600,16965600,119159200
2023-10-06,175.7683868408203,136.63758850097656,322.40142822265625,260.5299987792969,176.2635369377298,137.2136173603073,324.30276775869294,261.6499938964844,171.50018031240361,133.0920354756824,311.60412139660474,250.64999389648438,172.11417670790303,133.0920354756824,311.8504098359206,253.97999572753906,57266700,27597600,25673600,118121800
2023-10-09,177.2538299560547,137.47183227539062,324.92340087890625,259.6700134277344,177.31324554755352,137.9882745602618,325.3962554141024,261.3599853515625,174.0947700479303,134.68108297486128,318.3819658733118,252.0500030517578,175.0949677633166,136.00197439996847,319.92866439936114,255.30999755859375,42390800,19278100,19891200,101377900
2023-10-10,176.65963745117188,137.11431884765625,323.5146789550781,263.6199951171875,177.97673842144718,138.76295187271583,326.1844374022075,268.94000244140625,176.2239029815132,136.38932342021002,322.80536699864604,257.6499938964844,176.37245706568626,137.55130737519204,326.0465014357721,257.75,43698000,27786600,20557100,122656000
2023-10-11,178.05593872070312,139.5872344970703,327.48480224609375,262.989990234375,178.10545674166264,140.14339606826877,327.87885770845634,268.6000061035156,175.8772817954906,137.6307277992189,324.2534993515134,260.8999938964844,176.4714527146694,137.6307277992189,326.2927446369784,266.20001220703125,47551100,25884300,20063200,103706300
2023-10-12,178.95712280273438,138.01808166503906,326.2435607910156,258.8699951171875,180.57130155585352,140.25266956903684,328.67689206438564,265.4100036621094,177.30330847610173,137.3129383696769,323.83978293130957,256.6300048828125,178.3233313959954,140.08383585702484,325.66232361261683,262.9200134277344,56743100,24765500,19313100,111508100
2023-10-13,177.1151885986328,136.4191131591797,322.8644714355469,251.1199951171875,180.16529977566205,139.04102910178543,328.87388567074674,259.6000061035156,176.41206884050376,135.68417654981894,321.51478545137195,250.22000122070312,179.6602521369707,138.42528082227236,327.4454306740634,258.8999938964844,51427100,23420500,21072400,102073800
2023-10-16,176.98643493652344,138.14718627929688,327.7015686035156,253.9199981689453,177.3429435766639,138.67355462493762,331.14960684186315,255.39999389648438,174.79786506856496,137.04478905169177,325.69184646938805,248.47999572753906,175.03554253225204,137.22354879733518,326.1351476327568,250.0500030517578,52517000,28501900,22158000,88917200
2023-10-17,175.43167114257812,138.762939453125,327.13018798828125,254.85000610351562,176.6893566043469,138.9416992051521,328.5093973778692,257.17999267578125,173.10447478206885,136.24032959877303,322.54922855719866,247.0800018310547,174.9365210517317,137.6804094322447,324.69685675416497,250.10000610351562,57549400,23515800,18338500,93562900
